R_L (Kohm)	Vi (V)	Is (mA)	Iz (mA)	Vo (V)
1.1	0		0	0.01
1.1	0.6		0	0.4
1.1	1		0	0.69
1.1	1.6		0	1.02
1.1	2.1		0	1.31
1.1	2.4		0	1.52
1.1	3		0	1.85
1.1	3.5		0	2.16
1.1	3.9		0	2.43
1.1	4.5		0	2.77
1.1	5		0	3.09
1.1	5.4		0	3.31
1.1	6		0	3.68
1.1	6.5		0	3.92
1.1	7		0	4.23
1.1	7.5		0	4.57
1.1	8		0	4.87
1.1	8.5		0	5.16
1.1	8.9		0	5.4
1.1	9.5		0	5.71
1.1	10		0	6.05
1.1	10.5		0	6.35
1.1	11	2.11	0.1	6.5
1.1	11.5	2.3	0.3	6.53
1.1	11.9	2.5	0.5	6.57
1.1	12.5	2.74	0.7	6.55
1.1	13	3.01	1	6.56
1.1	13.6	3.24	1.3	6.57
1.1	13.9	3.41	1.4	6.57
1.1	14.5	3.67	1.7	6.57
1.1	15	3.89	1.9	6.58
